和名,Category,SingleMulti,TAC,Target
シリヤケイカ,Cuttlefish,Single,0,R3
シロギス,Fish,Single,0,R3
スナガレイ,Fish,Single,0,R3
スマ,Fish,Single,0,R3
タカベ,Fish,Single,0,R3
タナカゲンゲ,Fish,Single,0,R3
チカメキントキ,Fish,Single,0,R3
トコブシ,Shellfish,Single,0,R3
トヤマエビ,Shellfish,Single,0,R3
トリガイ,Shellfish,Single,0,R3
ナガヅカ,Fish,Single,0,R3
ニベ,Fish,Single,0,R3
ネズミゴチ,Fish,Single,0,R3
ノロゲンゲ,Fish,Single,0,R3
ハガツオ,Fish,Single,0,R3
ハマグリ,Shellfish,Single,0,R3
バラメヌケ,Fish,Single,0,R3
ヒメジ,Fish,Single,0,R3
ヒラツメガニ,Shellfish,Single,0,R3
ヒラマサ,Fish,Single,0,R3
ホタルイカ,Cuttlefish,Single,0,R3
ボラ,Fish,Single,0,R3
マゴチ,Fish,Single,0,R3
マダカアワビ,Shellfish,Single,0,R3
マナマコ,Cuttlefish,Single,0,R3
マハタ,Fish,Single,0,R3
マフグ,Fish,Single,0,R3
マルアジ,Fish,Single,0,R3
メガイアワビ,Shellfish,Single,0,R3
メジナ,Fish,Single,0,R3
メダイ,Fish,Single,0,R3
ユメカサゴ,Fish,Single,0,R3
サンマ,Fish,Single,1,NPFC
クロマグロ,Fish,Single,1,NPFC
メバチ,Fish,Single,1,NPFC
キハダ,Fish,Single,1,NPFC
ビンナガ,Fish,Single,1,NPFC
カツオ,Fish,Single,0,Ex
ニホンウナギ,Fish,Single,0,Ex
カラフトマス,Fish,Single,0,Ex
サケ,Fish,Single,0,Ex
ギンザケ,Fish,Single,0,Ex
ニジマス,Fish,Single,0,Ex
マスノスケ,Fish,Single,0,Ex
ブラウントラウト,Fish,Single,0,Ex
