Species,Generation_time,Age_max,Age_maturity
Sebastes cheni,NA,NA,NA
Sebastes owstoni,24.5,44.5,4.6
Sebastes schlegelii,25,45.7,4.4
Sebastes thompsoni,24.9,45.3,4.6
Sebastes vulpes,25.9,47,4.8
Sebastiscus marmoratus,9.4,15.6,3.3
Sebastolobus macrochir,23.4,38.2,8.6
Inimicus japonicus,6.5,9.7,3.3
Chelidonichthys spinosus,6.6,10.7,2.6
Lepidotrigla microptera,3.9,5.9,2
Fistularia petimba,7.2,11.5,2.8
Stephanolepis cirrhifer,2.5,3.7,1.4
Thamnaconus modestus,3.4,5.3,1.5
Lagocephalus spadiceus,3.1,4.7,1.5
Takifugu porphyreus,5.5,8.9,2.2
Takifugu rubripes,5.3,8.6,2
Takifugu snyderi,4.5,7.1,1.8
Zenopsis nebulosa,13.4,23.4,3.5
Zeus faber,8.7,14.3,3.1
