和名,Phylum,Class,Order,Family,Scientific_name,Genome_size_of_the_species_Mbp,No_target_sp_genome,Representative_assembly,Contig_N50,Scaffold_N50,Average_genome_size_of_the_genus_Mbp,No_related_spp_with_assemblies,AGSDB_genus_genome_size,AGSDB_No_genus_avail
ヒラマサ,Chordata,Actinopterygii,Perciformes,Carangidae,Seriola aureovittata Temminck & Schlegel 1845,649,2,GCA_021018895.1,17994190,28520646,484,7,743,4
カンパチ,Chordata,Actinopterygii,Perciformes,Carangidae,Seriola dumerili (Risso 1810),678,1,GCF_002260705.1,249755,5812906,484,7,743,4
ブリ,Chordata,Actinopterygii,Perciformes,Carangidae,Seriola quinqueradiata Temminck & Schlegel 1845,639,3,GCA_002217815.1,872227,5610255,484,7,743,4
マアジ,Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus japonicus (Temminck & Schlegel 1844),NA,0,NA,NA,NA,799,1,890,2
メダイ,Chordata,Actinopterygii,Perciformes,Centrolophidae,Hyperoglyphe japonica (Döderlein 1884),NA,0,NA,NA,NA,NA,0,753,1
イボダイ,Chordata,Actinopterygii,Perciformes,Centrolophidae,Psenopsis anomala (Temminck & Schlegel 1844),NA,0,NA,NA,NA,NA,0,NA,NA
シイラ,Chordata,Actinopterygii,Perciformes,Coryphaenidae,Coryphaena hippurus Linnaeus 1758,NA,0,NA,NA,NA,NA,0,597,1
ウミタナゴ,Chordata,Actinopterygii,Perciformes,Embiotocidae,Ditrema temminckii temminckii Bleeker 1853,NA,0,NA,NA,NA,NA,0,NA,NA
キジハタ,Chordata,Actinopterygii,Perciformes,Epinephelidae,Epinephelus akaara (Temminck & Schlegel 1843),NA,0,NA,NA,NA,1032,5,1072,14
クエ,Chordata,Actinopterygii,Perciformes,Epinephelidae,Epinephelus bruneus Bloch 1793,NA,0,NA,NA,NA,1032,5,1072,14
マハタ,Chordata,Actinopterygii,Perciformes,Epinephelidae,Hyporthodus septemfasciatus (Thunberg 1793),NA,0,NA,NA,NA,NA,0,NA,NA
スジアラ,Chordata,Actinopterygii,Perciformes,Epinephelidae,Plectropomus leopardus (Lacepède 1802),842,4,GCF_008729295.1,897070,33285428,842,1,1017,1
メジナ,Chordata,Actinopterygii,Perciformes,Girellidae,Girella punctata Gray 1835,NA,0,NA,NA,NA,NA,0,978,2
イサキ,Chordata,Actinopterygii,Perciformes,Haemulidae,Parapristipoma trilineatum (Thunberg 1793),NA,0,NA,NA,NA,NA,0,753,1
コショウダイ,Chordata,Actinopterygii,Perciformes,Haemulidae,Plectorhinchus cinctus (Temminck & Schlegel 1843),NA,0,NA,NA,NA,NA,0,NA,NA
キュウセン,Chordata,Actinopterygii,Perciformes,Labridae,Parajulis poecileptera (Temminck & Schlegel 1845),NA,0,NA,NA,NA,NA,0,NA,NA
コブダイ,Chordata,Actinopterygii,Perciformes,Labridae,Semicossyphus reticulatus (Valenciennes 1839),NA,0,NA,NA,NA,945,1,NA,NA
スズキ,Chordata,Actinopterygii,Perciformes,Lateolabracidae,Lateolabrax japonicus (Cuvier 1828),NA,0,NA,NA,NA,519,1,NA,NA
ハマダイ,Chordata,Actinopterygii,Perciformes,Lutjanidae,Etelis coruscans Valenciennes 1862,NA,0,NA,NA,NA,NA,0,929,1
アオダイ,Chordata,Actinopterygii,Perciformes,Lutjanidae,Paracaesio caerulea (Katayama 1934),NA,0,NA,NA,NA,NA,0,NA,NA
オオヒメ,Chordata,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides filamentosus (Valenciennes 1830),NA,0,NA,NA,NA,NA,0,1320,1
ヒメダイ,Chordata,Actinopterygii,Perciformes,Lutjanidae,Pristipomoides sieboldii (Bleeker 1855),NA,0,NA,NA,NA,NA,0,1320,1
ボラ,Chordata,Actinopterygii,Perciformes,Mugilidae,Mugil cephalus cephalus Linnaeus 1758,635,1,GCF_022458985.1,20153794,28326520,635,1,807,4
ヒメジ,Chordata,Actinopterygii,Perciformes,Mullidae,Upeneus japonicus (Houttuyn 1782),NA,0,NA,NA,NA,NA,0,518,1
イトヨリダイ,Chordata,Actinopterygii,Perciformes,Nemipteridae,Nemipterus virgatus (Houttuyn 1782),NA,0,NA,NA,NA,NA,0,753,1
アラ,Chordata,Actinopterygii,Perciformes,Niphonidae,Niphon spinosus Cuvier 1828,NA,0,NA,NA,NA,NA,0,NA,NA
イシダイ,Chordata,Actinopterygii,Perciformes,Oplegnathidae,Oplegnathus fasciatus (Temminck & Schlegel 1844),766,1,GCA_003416845.1,29992,1126915,766,1,910,1
イシガキダイ,Chordata,Actinopterygii,Perciformes,Oplegnathidae,Oplegnathus punctatus (Temminck & Schlegel 1844),NA,0,NA,NA,NA,766,1,910,1
チカメキントキ,Chordata,Actinopterygii,Perciformes,Priacanthidae,Cookeolus japonicus (Cuvier 1829),NA,0,NA,NA,NA,NA,0,NA,NA
キントキダイ,Chordata,Actinopterygii,Perciformes,Priacanthidae,Priacanthus macracanthus Cuvier 1829,NA,0,NA,NA,NA,NA,0,923,3
ニベ,Chordata,Actinopterygii,Perciformes,Sciaenidae,Nibea mitsukurii (Jordan & Snyder 1900),NA,0,NA,NA,NA,612,2,655,1
シログチ,Chordata,Actinopterygii,Perciformes,Sciaenidae,Pennahia argentata (Houttuyn 1782),NA,0,NA,NA,NA,NA,0,NA,NA
マルソウダ,Chordata,Actinopterygii,Perciformes,Scombridae,Auxis rochei rochei (Risso 1810),NA,0,NA,NA,NA,NA,0,831,1
スマ,Chordata,Actinopterygii,Perciformes,Scombridae,Euthynnus affinis (Cantor 1849),758,1,GCA_019973915.1,84203,29176745,758,1,NA,NA
カツオ,Chordata,Actinopterygii,Perciformes,Scombridae,Katsuwonus pelamis (Linnaeus 1758),NA,0,NA,NA,NA,NA,0,890,2
ハガツオ,Chordata,Actinopterygii,Perciformes,Scombridae,Sarda orientalis (Temminck & Schlegel 1844),NA,0,NA,NA,NA,NA,0,864,3
ゴマサバ,Chordata,Actinopterygii,Perciformes,Scombridae,Scomber australasicus Cuvier 1832,NA,0,NA,NA,NA,808,2,895,2
マサバ,Chordata,Actinopterygii,Perciformes,Scombridae,Scomber japonicus Houttuyn 1782,806,2,GCF_027409825.1,4898551,34636535,808,2,895,2
サワラ,Chordata,Actinopterygii,Perciformes,Scombridae,Scomberomorus niphonius (Cuvier 1832),NA,0,NA,NA,NA,NA,0,929,4
ビンナガ,Chordata,Actinopterygii,Perciformes,Scombridae,Thunnus alalunga (Bonnaterre 1788),NA,0,NA,NA,NA,751,4,851,3
キハダ,Chordata,Actinopterygii,Perciformes,Scombridae,Thunnus albacares (Bonnaterre 1788),787,3,GCF_914725855.1,26795544,34622995,751,4,851,3
メバチ,Chordata,Actinopterygii,Perciformes,Scombridae,Thunnus obesus (Lowe 1839),NA,0,NA,NA,NA,751,4,851,3
クロマグロ,Chordata,Actinopterygii,Perciformes,Scombridae,Thunnus orientalis (Temminck & Schlegel 1844),787,3,GCA_021601225.1,4079918,13192983,751,4,851,3
タカベ,Chordata,Actinopterygii,Perciformes,Scorpididae,Labracoglossa argentiventris Peters 1866,NA,0,NA,NA,NA,NA,0,880,1
アイゴ,Chordata,Actinopterygii,Perciformes,Siganidae,Siganus fuscescens (Houttuyn 1782),NA,0,NA,NA,NA,NA,0,615,7
